Overall Qual,Overall Cond,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Sold Age,Transformed Lot Frontage,Transformed Mas Vnr Area,Transformed BsmtFin SF 1,Transformed Lot Area,Transformed 1st Flr SF,Transformed 2nd Flr SF,Transformed Gr Liv Area,Transformed Screen Porch,MS SubClass_20,MS SubClass_30,MS SubClass_60,MS SubClass_75,MS Zoning_FV,Alley_None,Lot Shape_IR2,Land Contour_HLS,Lot Config_CulDSac,Lot Config_Inside,Land Slope_Mod,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_GrnHill,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_Somerst,Neighborhood_StoneBr,Condition 1_Norm,Condition 1_PosN,Bldg Type_1Fam,House Style_1Story,Roof Style_Hip,Roof Matl_WdShngl,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 2nd_MetalSd,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_Slab,Central Air_N,Garage Type_BuiltIn,Sale Condition_Partial,Exter Qual_encoded,Bsmt Qual_encoded,Heating QC_encoded,Kitchen Qual_encoded,Pool QC_encoded,Bsmt Exposure_encoded,BsmtFin Type 1_encoded,Functional_encoded,Garage Finish_encoded,Fence_encoded
6,5,1,1,0,7,2,2,15,4.96,4.73,6.46,10.37,7.41,0.0,7.41,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,3,3,2,3,0,4,4,7,3,0
5,6,0,1,0,5,0,1,15,4.39,0.0,6.15,9.36,6.8,0.0,6.8,4.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,0,1,3,7,1,3
6,6,0,1,1,6,0,1,15,4.41,4.69,6.83,9.57,7.19,0.0,7.19,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,1,5,7,1,0
7,5,1,2,1,8,2,2,15,4.54,0.0,6.97,9.32,7.65,0.0,7.65,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,4,3,5,5,0,1,5,7,3,0
5,5,0,2,1,6,1,2,15,4.32,0.0,6.67,9.53,6.83,6.55,7.4,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4,3,0,1,6,7,3,3
6,6,0,2,1,7,1,2,15,4.37,3.04,6.4,9.21,6.83,6.52,7.38,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,0,1,6,7,3,0
8,5,1,2,0,6,0,2,15,3.74,0.0,6.42,8.5,7.2,0.0,7.2,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,4,5,4,0,2,6,7,3,0
8,5,0,2,0,5,0,2,15,3.78,0.0,5.58,8.52,7.16,0.0,7.16,4.98,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,5,7,2,0
8,5,1,2,0,5,1,2,15,3.69,0.0,7.07,8.59,7.39,0.0,7.39,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,4,5,4,0,1,6,7,2,0
7,5,0,2,1,7,1,2,15,4.11,0.0,0.0,8.92,6.94,6.66,7.5,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,4,0,1,1,7,3,0
