Overall Qual,Overall Cond,House Age,Restore Age,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Transformed Lot Frontage,Transformed Mas Vnr Area,Transformed BsmtFin SF 1,Transformed Bsmt Unf SF,Transformed Total Bsmt SF,Transformed Garage Area,Transformed Lot Area,Transformed 1st Flr SF,Transformed 2nd Flr SF,Transformed Gr Liv Area,Transformed Open Porch SF,MS SubClass_60,Mas Vnr Type_None,Foundation_CBlock,Foundation_PConc,Garage Type_Attchd,Garage Type_Detchd,Exter Qual_encoded,Bsmt Qual_encoded,Heating QC_encoded,Kitchen Qual_encoded,Fireplace Qu_encoded,Bsmt Exposure_encoded,BsmtFin Type 1_encoded,Garage Finish_encoded,Garage Age
6,5,65,65,1,7,2,2,4.96,4.73,6.46,6.09,6.99,6.27,10.37,7.41,0.0,7.41,4.14,0,0,1,0,1,0,3,3,2,3,4,4,4,3,65
5,6,64,64,1,5,0,1,4.39,0.0,6.15,5.6,6.78,6.59,9.36,6.8,0.0,6.8,0.0,0,1,1,0,1,0,3,3,3,3,0,1,3,1,64
6,6,67,67,1,6,0,1,4.41,4.69,6.83,6.01,7.19,5.75,9.57,7.19,0.0,7.19,3.61,0,0,1,0,1,0,3,3,3,4,0,1,5,1,67
7,5,57,57,2,8,2,2,4.54,0.0,6.97,6.95,7.65,6.26,9.32,7.65,0.0,7.65,0.0,0,1,1,0,1,0,4,3,5,5,3,1,5,3,57
5,5,28,27,2,6,1,2,4.32,0.0,6.67,4.93,6.83,6.18,9.53,6.83,6.55,7.4,3.56,1,1,0,1,1,0,3,4,4,3,3,1,6,3,28
6,6,27,27,2,7,1,2,4.37,3.04,6.4,5.78,6.83,6.15,9.21,6.83,6.52,7.38,3.61,1,0,0,1,1,0,3,3,5,4,4,1,6,3,27
8,5,24,24,2,6,0,2,3.74,0.0,6.42,6.58,7.2,6.37,8.5,7.2,0.0,7.2,0.0,0,1,0,1,1,0,4,4,5,4,0,2,6,3,24
8,5,33,33,2,5,0,2,3.78,0.0,5.58,6.93,7.16,6.23,8.52,7.16,0.0,7.16,4.42,0,1,0,1,1,0,4,4,5,4,0,1,5,2,33
8,5,30,29,2,5,1,2,3.69,0.0,7.07,6.03,7.38,6.41,8.59,7.39,0.0,7.39,5.03,0,1,0,1,1,0,4,4,5,4,3,1,6,2,30
7,5,26,26,2,7,1,2,4.11,0.0,0.0,6.9,6.9,6.09,8.92,6.94,6.66,7.5,4.11,1,1,0,1,1,0,3,3,4,4,3,1,1,3,26
6,5,32,31,2,7,1,2,4.33,0.0,0.0,6.64,6.64,6.09,9.21,6.64,6.79,7.41,4.44,1,1,0,1,1,0,3,4,4,3,3,1,1,3,32
6,7,33,18,2,6,0,2,4.16,0.0,6.84,5.46,7.06,6.04,8.98,7.08,0.0,7.08,3.09,0,1,0,1,1,0,3,4,5,3,0,1,5,3,33
6,5,27,27,2,7,1,2,4.16,0.0,0.0,6.67,6.67,5.98,9.04,6.67,6.52,7.29,4.33,1,1,0,1,1,0,3,4,4,3,4,1,1,3,27
7,5,35,35,1,5,1,2,4.45,0.0,6.46,6.5,7.17,6.23,9.23,7.2,0.0,7.2,0.0,0,1,0,1,1,0,3,4,4,4,1,4,6,1,35
8,5,40,40,1,4,0,2,4.47,0.0,5.91,0.0,7.31,6.27,8.83,7.32,0.0,7.32,4.01,0,1,0,1,1,0,4,4,3,4,0,3,6,2,40
8,5,22,22,3,12,1,3,3.87,6.4,7.26,5.46,7.41,6.74,10.89,7.43,7.37,8.1,3.61,1,0,0,1,0,0,5,4,5,5,4,4,5,3,22
8,7,37,20,2,8,0,2,5.03,0.0,6.06,4.89,6.33,6.2,9.4,6.99,6.51,7.47,2.56,0,1,0,0,0,0,4,4,4,3,0,3,6,2,37
9,2,15,15,1,8,1,3,4.49,5.86,7.28,6.02,7.53,6.73,9.34,7.53,0.0,7.53,0.0,0,0,0,1,1,0,4,5,5,5,5,3,6,3,15
4,5,74,74,1,4,0,2,4.95,0.0,4.8,6.61,6.76,5.99,9.86,6.76,0.0,6.76,0.0,0,1,1,0,0,1,3,3,5,3,0,1,2,1,74
6,6,47,37,2,7,2,2,4.45,4.79,6.67,6.38,7.34,6.22,9.49,7.64,0.0,7.64,0.0,0,0,1,0,1,0,3,4,3,3,3,1,5,1,47
6,6,48,48,2,7,1,2,4.66,6.18,6.56,7.04,7.52,6.3,9.37,7.52,0.0,7.52,4.81,0,0,1,0,1,0,3,4,5,3,3,1,4,2,48
7,6,51,51,2,6,2,2,4.45,4.41,6.79,0.0,6.96,6.27,9.27,7.07,0.0,7.07,4.8,0,0,1,0,1,0,3,4,3,4,3,4,6,2,51
7,5,25,25,2,7,0,2,4.19,0.0,6.28,5.64,6.7,6.5,8.92,6.7,6.76,7.42,4.57,1,1,0,1,1,0,4,4,5,4,0,1,6,2,25
6,7,55,55,1,5,1,2,3.99,5.2,6.36,6.06,6.91,6.18,9.33,6.91,0.0,6.91,0.0,0,0,1,0,1,0,3,3,5,3,3,1,5,3,55
5,6,54,17,1,6,1,2,3.99,0.0,6.6,5.84,6.98,6.22,9.44,6.98,0.0,6.98,0.0,0,1,1,0,1,0,3,3,5,3,2,1,6,3,54
5,6,57,57,1,6,1,1,4.19,0.0,6.65,5.64,6.96,5.72,9.04,6.96,0.0,6.96,4.45,0,1,1,0,1,0,3,3,5,3,2,1,4,1,57
4,5,55,55,1,4,0,2,4.26,0.0,6.69,0.0,6.78,6.27,9.04,6.78,0.0,6.78,0.0,0,1,1,0,1,0,3,3,3,3,0,1,5,3,55
4,5,54,54,1,5,1,0,4.26,0.0,6.07,6.07,6.76,0.0,9.26,6.76,0.0,6.76,0.0,0,1,1,0,0,0,3,3,3,3,1,1,5,0,0
7,5,26,26,2,5,1,2,3.3,0.0,6.96,5.87,7.25,6.24,8.68,7.2,0.0,7.2,4.23,0,1,0,1,1,0,4,4,5,4,2,1,6,3,26
6,5,54,54,1,5,0,1,3.09,6.22,5.06,5.79,6.18,5.58,7.43,6.18,6.22,6.9,0.0,0,0,1,0,0,1,3,3,3,3,0,1,3,1,54
5,5,54,54,1,6,0,1,3.09,6.2,5.71,5.42,6.27,5.77,7.43,6.27,6.34,7.0,0.0,0,0,1,0,0,1,3,3,3,3,0,1,3,1,28
6,5,54,54,1,6,0,1,3.09,5.95,0.0,6.27,6.27,5.58,7.43,6.27,6.34,7.0,0.0,0,0,1,0,0,1,3,3,3,3,0,1,1,1,54
6,5,48,48,2,4,1,2,3.99,0.0,5.89,6.57,6.98,6.09,8.3,6.98,0.0,6.98,4.03,0,1,1,0,1,0,3,4,3,3,2,1,5,2,48
6,6,50,50,2,6,1,2,3.22,0.0,6.24,5.83,6.75,6.09,7.73,6.75,6.4,7.28,0.0,0,1,1,0,1,0,3,3,3,4,3,1,5,1,50
7,6,50,50,1,4,0,1,3.22,0.0,0.0,6.73,6.73,5.73,7.73,6.73,0.0,6.73,3.43,0,1,1,0,1,0,3,4,5,3,0,1,1,1,50
6,5,47,47,2,7,1,2,3.22,0.0,5.74,6.3,6.75,6.09,7.73,6.75,6.4,7.28,0.0,0,1,1,0,1,0,3,4,2,3,3,1,5,1,47
9,5,16,15,2,10,1,3,4.63,5.09,0.0,7.37,7.37,6.62,9.46,7.4,6.56,7.76,4.9,1,0,0,1,1,0,5,5,5,5,4,1,1,3,16
8,5,18,17,2,7,1,3,4.6,5.3,7.11,6.19,7.44,6.65,9.35,7.44,0.0,7.44,3.93,0,0,0,1,1,0,4,5,5,4,4,1,6,2,17
9,5,16,15,2,8,1,3,4.43,6.11,7.41,5.65,7.57,6.41,9.23,7.57,0.0,7.57,4.56,0,0,0,1,1,0,5,5,5,5,4,3,6,3,15
8,5,16,15,2,7,0,3,4.55,5.55,0.0,7.34,7.34,6.77,9.46,7.34,0.0,7.34,3.58,0,0,0,1,1,0,4,4,5,4,0,1,1,2,16
7,5,20,20,2,7,1,2,4.56,5.42,7.09,5.83,7.34,6.28,9.41,7.34,0.0,7.34,4.26,0,0,0,1,1,0,4,4,5,4,4,2,4,2,20
