Overall Qual,House Age,Full Bath,Garage Cars,Transformed BsmtFin SF 1,Transformed Total Bsmt SF,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,Bsmt Qual_encoded,Kitchen Qual_encoded
6,65,1,2,6.46,6.99,10.37,7.41,7.41,3,3
5,64,1,1,6.15,6.78,9.36,6.8,6.8,3,3
6,67,1,1,6.83,7.19,9.57,7.19,7.19,3,4
7,57,2,2,6.97,7.65,9.32,7.65,7.65,3,5
5,28,2,2,6.67,6.83,9.53,6.83,7.4,4,3
6,27,2,2,6.4,6.83,9.21,6.83,7.38,3,4
8,24,2,2,6.42,7.2,8.5,7.2,7.2,4,4
8,33,2,2,5.58,7.16,8.52,7.16,7.16,4,4
8,30,2,2,7.07,7.38,8.59,7.39,7.39,4,4
7,26,2,2,0.0,6.9,8.92,6.94,7.5,3,4
6,32,2,2,0.0,6.64,9.21,6.64,7.41,4,3
6,33,2,2,6.84,7.06,8.98,7.08,7.08,4,3
6,27,2,2,0.0,6.67,9.04,6.67,7.29,4,3
7,35,1,2,6.46,7.17,9.23,7.2,7.2,4,4
8,40,1,2,5.91,7.31,8.83,7.32,7.32,4,4
8,22,3,3,7.26,7.41,10.89,7.43,8.1,4,5
8,37,2,2,6.06,6.33,9.4,6.99,7.47,4,3
9,15,1,3,7.28,7.53,9.34,7.53,7.53,5,5
4,74,1,2,4.8,6.76,9.86,6.76,6.76,3,3
6,47,2,2,6.67,7.34,9.49,7.64,7.64,4,3
6,48,2,2,6.56,7.52,9.37,7.52,7.52,4,3
7,51,2,2,6.79,6.96,9.27,7.07,7.07,4,4
7,25,2,2,6.28,6.7,8.92,6.7,7.42,4,4
6,55,1,2,6.36,6.91,9.33,6.91,6.91,3,3
5,54,1,2,6.6,6.98,9.44,6.98,6.98,3,3
5,57,1,1,6.65,6.96,9.04,6.96,6.96,3,3
4,55,1,2,6.69,6.78,9.04,6.78,6.78,3,3
4,54,1,0,6.07,6.76,9.26,6.76,6.76,3,3
7,26,2,2,6.96,7.25,8.68,7.2,7.2,4,4
6,54,1,1,5.06,6.18,7.43,6.18,6.9,3,3
5,54,1,1,5.71,6.27,7.43,6.27,7.0,3,3
6,54,1,1,0.0,6.27,7.43,6.27,7.0,3,3
6,48,2,2,5.89,6.98,8.3,6.98,6.98,4,3
6,50,2,2,6.24,6.75,7.73,6.75,7.28,3,4
7,50,1,1,0.0,6.73,7.73,6.73,6.73,4,3
6,47,2,2,5.74,6.75,7.73,6.75,7.28,4,3
9,16,2,3,0.0,7.37,9.46,7.4,7.76,5,5
8,18,2,3,7.11,7.44,9.35,7.44,7.44,5,4
9,16,2,3,7.41,7.57,9.23,7.57,7.57,5,5
8,16,2,3,0.0,7.34,9.46,7.34,7.34,4,4
7,20,2,2,7.09,7.34,9.41,7.34,7.34,4,4
9,20,2,3,4.71,7.44,9.35,7.44,7.44,5,5
8,20,2,3,3.37,7.51,9.56,7.51,7.51,5,5
7,21,2,2,1.1,7.33,9.23,7.34,7.34,4,4
9,16,2,3,7.69,7.75,9.47,7.77,7.77,5,5
7,16,2,2,6.6,7.21,8.76,7.21,7.21,4,4
9,22,2,3,7.23,7.95,9.57,7.9,7.9,5,5
8,23,2,3,6.36,7.42,9.52,7.43,7.72,4,4
9,20,2,2,6.12,7.47,8.94,7.47,7.47,5,5
8,19,2,2,3.22,7.22,8.87,7.22,7.22,4,4
7,22,2,2,0.0,6.64,7.87,6.64,7.39,4,4
6,20,2,2,0.0,7.19,9.83,7.19,7.19,4,4
7,19,2,2,2.83,7.04,8.07,7.04,7.04,4,4
8,21,2,2,3.22,7.14,8.07,7.15,7.15,4,4
7,21,2,2,5.79,5.95,9.5,6.61,7.23,4,4
6,23,2,2,6.44,6.76,8.97,6.76,7.58,4,4
7,21,2,2,0.0,6.74,9.06,6.74,7.46,4,4
7,25,2,2,5.53,5.95,8.96,6.65,7.27,4,3
7,24,2,2,0.0,6.79,9.16,6.79,7.62,4,4
9,26,2,3,0.0,7.24,9.6,7.26,7.86,4,4
8,27,2,3,0.0,7.4,9.77,7.41,7.81,5,4
7,29,2,2,6.82,7.45,9.27,7.45,7.45,4,4
8,31,2,2,6.94,7.29,9.41,7.31,7.87,5,4
8,26,2,3,6.26,7.05,9.37,7.06,7.73,4,4
7,27,2,2,0.0,7.09,9.73,7.09,7.52,4,3
8,30,2,3,6.71,7.62,9.6,7.63,8.08,4,4
8,20,2,3,0.0,7.38,9.1,7.38,7.38,4,4
7,16,2,2,0.0,7.11,9.13,7.11,7.11,4,4
7,16,2,2,3.22,6.63,9.06,6.64,7.34,4,4
8,17,2,2,6.98,7.36,9.11,7.36,7.36,4,4
7,21,2,2,5.41,6.9,9.44,6.9,7.57,4,4
6,20,2,2,7.25,7.29,9.25,7.29,7.29,5,4
7,21,2,2,6.49,6.86,9.22,6.86,7.64,4,4
7,21,2,2,0.0,6.72,9.39,6.72,7.41,4,4
7,31,2,2,6.55,6.86,9.09,7.11,7.65,4,4
6,45,2,1,6.3,6.83,8.99,6.83,6.83,4,3
6,33,2,2,0.0,6.96,9.33,6.96,7.52,4,4
6,46,2,1,0.0,6.82,8.97,6.82,6.82,4,3
6,41,1,1,6.44,6.61,8.88,6.62,6.62,4,3
7,32,2,2,6.0,6.9,9.15,6.92,7.46,4,4
6,41,2,2,5.83,6.95,9.18,7.0,7.0,4,3
6,45,2,2,0.0,6.48,9.04,6.79,7.36,4,3
5,105,1,1,0.0,6.71,9.19,6.92,6.92,3,3
6,47,2,2,0.0,0.0,9.1,7.18,7.55,0,3
5,64,1,2,6.8,7.01,9.37,7.05,7.05,3,4
5,60,1,1,6.32,6.8,9.04,6.8,6.8,3,3
5,58,1,1,6.11,6.78,9.19,6.8,6.8,3,3
5,62,1,1,6.72,6.95,8.92,6.95,6.95,3,3
5,63,1,1,6.49,6.95,8.84,6.95,6.95,3,3
6,51,2,2,4.84,7.1,9.64,7.31,7.31,3,3
7,33,2,2,6.51,6.62,9.23,6.97,7.56,4,4
8,32,2,3,5.53,7.12,9.48,7.13,7.76,4,4
8,33,2,3,7.03,7.24,9.32,7.25,7.71,4,4
7,21,2,2,7.17,7.31,8.48,7.31,7.31,5,4
7,21,2,2,0.0,6.73,8.17,6.73,7.43,4,4
7,21,2,2,5.64,6.4,8.08,6.4,7.09,4,4
7,21,2,2,0.0,6.4,8.07,6.4,7.09,4,4
7,21,2,2,5.91,6.4,7.84,6.4,7.09,4,4
6,20,2,2,5.93,6.4,7.84,6.4,7.12,4,4
7,16,2,2,6.36,7.29,8.39,7.3,7.3,5,4
6,25,2,2,5.94,6.63,7.66,6.65,7.36,4,4
6,25,2,2,6.15,6.63,8.0,6.63,7.32,4,4
7,26,2,2,6.41,6.55,7.85,6.55,7.26,4,4
7,22,2,2,5.5,6.27,7.78,6.27,6.99,4,4
8,15,1,3,6.94,7.4,9.46,7.26,7.26,5,4
8,25,2,2,6.18,6.88,8.91,6.88,7.52,4,4
8,45,1,2,6.59,6.59,8.39,6.67,6.67,4,4
8,47,1,2,6.96,7.11,8.26,7.11,7.11,4,4
6,49,2,2,6.28,6.59,9.51,6.59,7.3,3,4
7,23,2,2,6.73,7.31,8.99,7.31,7.31,4,4
6,58,2,2,6.23,7.51,9.26,7.51,7.51,3,3
6,32,2,2,7.04,7.16,9.29,7.16,7.82,4,4
6,48,2,2,7.09,7.38,9.27,7.38,7.38,3,4
6,47,3,2,6.53,7.11,9.84,7.16,7.55,4,3
7,37,2,2,5.98,6.89,9.25,6.89,7.45,4,3
6,53,1,2,6.89,7.06,9.14,7.23,7.23,3,4
6,54,1,2,5.8,6.57,9.17,6.84,7.41,3,3
5,59,1,2,6.55,7.12,9.17,7.12,7.12,3,3
6,62,1,2,6.35,7.19,9.19,7.19,7.19,3,3
4,66,1,0,6.35,6.86,9.14,7.11,7.11,3,3
5,59,1,2,6.97,7.1,9.2,7.1,7.1,4,3
5,58,2,2,6.92,7.32,9.18,7.32,7.32,3,4
6,61,2,2,0.0,6.28,9.27,7.03,7.48,3,3
5,61,1,2,6.92,7.05,9.55,7.05,7.05,3,3
6,62,1,2,6.64,6.84,9.08,6.96,6.96,3,4
5,63,2,0,7.31,7.46,9.49,7.46,7.46,3,3
5,75,1,1,3.91,6.98,9.18,6.98,6.98,3,4
5,73,2,2,6.51,7.04,9.18,7.57,7.81,3,3
6,76,2,2,5.71,6.66,9.76,6.93,7.35,3,3
5,67,1,0,6.55,6.76,8.88,6.76,6.76,3,3
3,85,1,0,0.0,6.59,8.59,7.18,7.18,3,2
5,71,1,1,5.87,6.96,9.2,6.97,6.97,3,3
6,70,1,1,6.51,7.05,9.17,7.33,7.33,3,3
5,71,1,1,6.29,7.15,8.96,7.15,7.15,3,3
6,59,1,1,6.85,6.99,9.34,7.03,7.03,3,4
5,65,2,2,6.1,7.01,9.36,7.01,7.73,3,3
7,55,2,2,6.82,7.57,9.9,7.7,7.7,4,3
6,59,2,2,5.51,7.33,9.71,7.54,7.54,3,4
5,67,2,2,0.0,7.38,9.02,7.38,7.38,3,3
7,22,2,2,7.08,7.3,9.01,7.3,7.3,4,4
5,66,1,1,6.75,7.04,8.99,7.04,7.04,3,3
5,66,1,2,6.93,7.24,9.26,7.44,7.44,3,4
5,68,1,1,6.83,7.18,9.04,7.18,7.18,3,3
6,66,1,1,0.0,7.09,9.08,7.09,7.09,3,3
5,66,1,2,6.91,7.08,9.41,7.08,7.08,3,3
5,65,1,2,6.55,7.15,9.14,7.14,7.14,3,3
5,66,1,1,6.84,7.1,9.28,7.1,7.1,3,3
6,66,1,2,6.6,7.13,9.21,7.37,7.37,3,3
4,69,1,1,0.0,6.73,9.03,6.73,7.2,3,3
5,73,1,1,5.83,6.76,9.3,6.97,6.97,3,2
5,70,1,1,6.48,6.88,9.3,6.88,6.88,3,3
5,67,1,1,6.28,6.9,9.52,6.9,6.9,3,3
5,72,1,1,6.6,6.96,8.98,6.96,6.96,3,4
4,105,1,2,0.0,6.36,8.97,6.89,6.89,3,3
5,70,1,1,0.0,0.0,8.88,6.72,6.72,0,3
5,71,1,2,5.77,6.99,9.23,6.99,6.99,3,3
5,69,1,1,5.52,6.84,8.68,6.84,6.84,3,3
6,77,1,1,0.0,6.82,9.77,6.82,7.29,3,3
6,45,0,2,6.96,6.96,8.85,6.96,6.96,3,3
5,66,1,2,4.29,6.97,9.19,7.16,7.16,3,4
7,58,2,2,0.0,6.57,9.33,7.55,8.0,4,4
6,77,1,1,6.18,6.71,9.0,6.71,7.11,3,3
5,66,1,1,5.83,7.13,8.92,7.13,7.13,3,4
5,73,2,2,6.23,6.81,9.05,6.81,7.23,3,3
5,74,1,2,5.46,6.8,8.88,6.8,6.8,3,4
6,63,1,2,0.0,7.02,9.21,7.02,7.02,3,3
5,65,1,2,6.38,7.07,8.94,7.07,7.07,3,3
6,62,1,2,6.58,7.24,9.19,7.24,7.24,3,3
6,59,1,2,0.0,6.63,8.95,6.96,7.52,3,3
4,125,1,1,3.89,6.57,8.48,7.05,7.52,3,3
4,115,1,0,0.0,6.36,9.08,6.68,7.04,3,3
5,105,1,0,6.36,6.84,8.41,6.84,6.84,3,3
5,98,1,2,0.0,6.92,9.1,6.94,6.94,3,3
5,68,1,2,5.62,7.21,8.67,7.21,7.21,3,4
3,110,2,1,0.0,6.73,8.66,6.73,7.38,2,3
4,80,1,1,0.0,6.62,8.44,6.62,6.62,3,3
5,85,1,1,6.24,6.67,8.88,6.69,6.69,3,4
5,96,1,2,5.46,6.83,8.61,6.83,7.18,3,3
6,87,1,1,0.0,6.72,8.84,6.72,7.13,4,2
5,77,1,1,6.66,6.94,9.38,6.94,7.4,3,4
5,105,1,1,5.18,6.92,9.02,6.97,7.13,3,3
2,102,1,2,0.0,6.52,9.18,6.73,6.73,2,3
6,97,1,2,0.0,6.44,9.05,6.58,6.58,3,3
8,125,2,1,0.0,6.84,9.17,6.84,7.36,3,4
5,110,2,1,6.53,6.53,9.29,6.87,7.41,2,3
8,135,3,2,0.0,5.85,9.11,7.05,7.73,2,4
5,115,2,0,0.0,6.73,9.11,7.03,7.72,3,2
6,68,1,2,6.4,6.82,8.91,7.12,7.12,3,3
4,115,1,2,0.0,6.43,8.95,6.61,7.22,2,3
4,140,2,2,0.0,6.66,9.34,7.13,7.74,3,3
6,103,1,2,5.65,6.61,9.26,6.77,7.29,2,3
5,75,1,1,6.67,6.9,8.67,6.94,7.39,3,3
7,103,1,1,6.16,7.01,8.96,7.06,7.63,4,4
4,100,1,1,5.24,6.64,8.52,6.64,6.64,3,4
6,86,1,1,6.12,6.41,8.7,6.41,7.03,3,3
6,85,1,2,5.58,6.35,8.7,6.74,7.09,3,3
5,83,1,1,5.89,6.73,8.76,6.86,7.28,3,4
6,77,1,1,5.71,6.66,8.7,6.66,7.26,3,3
5,89,1,2,5.62,6.27,8.74,6.31,6.95,3,3
5,95,2,2,6.11,6.83,8.74,6.83,7.34,3,3
6,102,1,1,6.87,7.03,8.72,6.97,6.97,2,3
7,104,2,2,0.0,6.36,9.24,6.81,7.44,3,3
4,110,1,2,0.0,6.79,9.0,6.79,7.58,3,3
6,113,1,0,0.0,6.66,9.47,6.66,7.35,3,4
6,105,1,1,0.0,6.5,8.03,6.5,7.19,3,3
5,62,1,2,4.65,6.71,9.04,6.71,6.71,4,3
4,95,2,0,0.0,0.0,8.63,5.92,7.0,0,2
5,125,2,2,0.0,5.89,8.94,6.94,7.5,4,4
7,85,2,1,0.0,6.94,10.09,7.1,7.78,3,3
5,66,2,1,6.64,7.26,9.63,7.42,7.42,4,3
5,108,1,1,0.0,6.54,9.27,6.59,7.11,4,1
5,110,1,0,6.93,7.1,9.2,7.1,7.24,3,3
6,85,1,1,5.91,6.4,8.7,6.4,6.82,2,3
4,118,1,0,4.3,6.56,8.77,6.85,7.54,3,3
5,115,2,2,6.6,6.75,8.71,6.84,7.43,3,3
5,150,1,0,0.0,6.66,8.76,6.66,6.93,3,3
4,58,2,0,6.56,7.51,9.28,7.51,7.51,3,3
4,57,2,0,0.0,7.48,9.29,7.48,7.48,3,3
5,60,1,2,6.74,6.95,9.36,6.95,6.95,3,3
5,68,1,2,7.17,7.24,9.34,7.24,7.24,4,3
5,58,1,1,6.74,6.82,9.05,6.82,6.82,3,3
5,57,1,1,5.24,6.97,9.02,6.97,6.97,3,4
5,59,1,1,5.48,6.76,8.96,6.79,6.79,3,4
6,56,1,1,5.92,6.5,9.14,6.5,7.21,3,3
5,57,1,1,6.65,6.76,8.97,6.76,6.76,3,3
5,47,1,2,7.19,7.19,8.91,7.23,7.23,4,3
5,57,1,2,5.59,6.58,9.33,6.58,7.27,3,3
6,47,2,2,6.08,6.51,9.36,6.51,7.23,3,3
