Overall Qual,Overall Cond,Bsmt Full Bath,Full Bath,Kitchen AbvGr,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,MS SubClass_85,MS SubClass_180,MS Zoning_FV,Land Contour_Bnk,Neighborhood_Edwards,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_StoneBr,Condition 2_Artery,Condition 2_PosN,House Style_2.5Unf,Roof Style_Flat,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 2nd_PreCast,Foundation_CBlock,Central Air_Y,Sale Condition_Family,Bsmt Qual_encoded,Kitchen Qual_encoded,Fireplace Qu_encoded,Garage Cond_encoded,Paved Drive_encoded
6,5,1,1,1,10.37,7.41,7.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,1
5,6,0,1,1,9.36,6.8,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,6,0,1,1,9.57,7.19,7.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
7,5,1,2,1,9.32,7.65,7.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,5,3,3,2
5,5,0,2,1,9.53,6.83,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,3,2
6,6,0,2,1,9.21,6.83,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,3,2
8,5,1,2,1,8.5,7.2,7.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,0,2,1,8.52,7.16,7.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,1,2,1,8.59,7.39,7.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
7,5,0,2,1,8.92,6.94,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,3,2
6,5,0,2,1,9.21,6.64,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,3,2
6,7,1,2,1,8.98,7.08,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,3,2
6,5,0,2,1,9.04,6.67,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,3,2
7,5,1,1,1,9.23,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,3,2
8,5,1,1,1,8.83,7.32,7.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,1,3,1,10.89,7.43,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,5,4,3,2
8,7,0,2,1,9.4,6.99,7.47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,3,2
9,2,1,1,1,9.34,7.53,7.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,5,5,3,2
4,5,0,1,1,9.86,6.76,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,6,1,2,1,9.49,7.64,7.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
6,6,0,2,1,9.37,7.52,7.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
7,6,1,2,1,9.27,7.07,7.07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,4,3,3,2
7,5,1,2,1,8.92,6.7,7.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
6,7,1,1,1,9.33,6.91,6.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,3,2
5,6,1,1,1,9.44,6.98,6.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,3,2
5,6,1,1,1,9.04,6.96,6.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,3,2
4,5,1,1,1,9.04,6.78,6.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
4,5,0,1,1,9.26,6.76,6.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,2
