Overall Qual,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Transformed Mas Vnr Area,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,Transformed Pool Area,Neighborhood_Gilbert,Neighborhood_GrnHill,Neighborhood_NWAmes,Neighborhood_NridgHt,Neighborhood_StoneBr,Neighborhood_Veenker,Roof Matl_ClyTile,Roof Matl_CompShg,Roof Matl_Tar&Grv,Roof Matl_WdShngl,Mas Vnr Type_None,Garage Type_2Types,Garage Type_None,Misc Feature_Elev,Kitchen Qual_encoded,Pool QC_encoded,Bsmt Exposure_encoded,Functional_encoded,Has Garage
6,1,0,3,1,7,2,2,4.73,10.37,7.41,7.41,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,7,1
5,1,0,2,1,5,0,1,0.0,9.36,6.8,6.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,1,3,1,6,0,1,4.69,9.57,7.19,7.19,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,1,3,1,8,2,2,0.0,9.32,7.65,7.65,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,1,7,1
5,2,1,3,1,6,1,2,0.0,9.53,6.83,7.4,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,7,1,2,3.04,9.21,6.83,7.38,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
8,2,0,2,1,6,0,2,0.0,8.5,7.2,7.2,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,2,7,1
8,2,0,2,1,5,0,2,0.0,8.52,7.16,7.16,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,1,7,1
8,2,0,2,1,5,1,2,0.0,8.59,7.39,7.39,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,3,1,7,1,2,0.0,8.92,6.94,7.5,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
